Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401134,Belá,Belá,,,,,,SK0316512052;Belá-Dulice;SK0316;Martin,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401146,Belá,Belá,,,,,,SK031B517429;Belá;SK031B;Žilina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401158,Beladice,Beladice,,,,,,SK0237500062;Beladice;SK0237;Zlaté Moravce,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401160,Pustý Chotár,Pustý Chotár,,,,,,SK0237500062;Beladice;SK0237;Zlaté Moravce,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401183,Beluša,Beluša,,,,,,SK0228512851;Beluša;SK0228;Púchov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401195,Benice,Benice,,,,,,SK0315510262;Liptovský Mikuláš;SK0315;Liptovský Mikuláš,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401201,Beňova Lehota,Beňova Lehota,,,,,,SK0313509540;Dolný Kubín;SK0313;Dolný Kubín,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401213,Beňuš,Beňuš,,,,,,SK0323508462;Beňuš;SK0323;Brezno,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401225,Beňušovce,Beňušovce,,,,,,SK0315510777;Liptovský Trnovec;SK0315;Liptovský Mikuláš,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401237,Beša,Beša,,,,,,SK0232502065;Beša;SK0232;Levice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401249,Bíňa,Bíňa,,,,,,SK0234503088;Bíňa;SK0234;Nové Zámky,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401251,Biskupice,Biskupice,,,,,,SK0221542652;Bánovce nad Bebravou;SK0221;Bánovce nad Bebravou,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401274,Bobot,Bobot,,,,,,SK0229505854;Bobot;SK0229;Trenčín,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401286,Bobotská Lehota,Bobotská Lehota,,,,,,SK0229505854;Bobot;SK0229;Trenčín,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401298,Bobrovník,Bobrovník,,,,,,SK0315510335;Bobrovník;SK0315;Liptovský Mikuláš,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401304,Bodice,Bodice,,,,,,SK0315510262;Liptovský Mikuláš;SK0315;Liptovský Mikuláš,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401316,Bodorová,Bodorová,,,,,,SK0319512095;Bodorová;SK0319;Turčianske Teplice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401328,Kevice,Kevice,,,,,,SK0319512095;Bodorová;SK0319;Turčianske Teplice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401330,Bodrog,Bodrog,,,,,,SK042B528153;Svätá Mária;SK042B;Trebišov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401341,Bohatá,Bohatá,,,,,,SK0231501140;Hurbanovo;SK0231;Komárno,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401365,Bohúňovo,Bohúňovo,,,,,,SK0428525553;Bohúňovo;SK0428;Rožňava,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401377,Tiba,Tiba,,,,,,SK0428525553;Bohúňovo;SK0428;Rožňava,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401389,Bojná,Bojná,,,,,,SK0236542717;Bojná;SK0236;Topoľčany,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,401391,Malé Dvorany,Malé Dvorany,,,,,,SK0236542717;Bojná;SK0236;Topoľčany,,,,,,2015-07-01,,,ano
